home_team,away_team,toss_won,decision,winner,venue_name,home_captain,away_captain,reserve_umpire,away_team_win_percentage,home_playx1_1,home_playx1_2,home_playx1_3,home_playx1_4,home_playx1_5,home_playx1_6,home_playx1_7,home_playx1_8,home_playx1_9,home_playx1_10,home_playx1_11,away_playx1_1,away_playx1_2,away_playx1_3,away_playx1_4,away_playx1_5,away_playx1_6,away_playx1_7,away_playx1_8,away_playx1_9,away_playx1_10,away_playx1_11,home_key_batsman_1,home_key_batsman_2,home_key_bowler_1,home_key_bowler_2,away_key_batsman_1,away_key_batsman_2,away_key_bowler_1,away_key_bowler_2
MI,KKR,8,1,8,15,Rohit Sharma,Gautam Gambhir,14,10,Lendl Simmons (BT),Parthiv Patel (WK),Ambati Rayudu (BT),Rohit Sharma (BT),Krunal Pandya (AR),Kieron Pollard (AR),Hardik Pandya (AR),Mitchell Johnson (BL),Karn Sharma (BL),Jasprit Bumrah (BL),Lasith Malinga (BL),Chris Lynn (BT),Sunil Narine (AR),Gautam Gambhir (BT),Robin Uthappa (WK),Ishank Jaggi (BT),Colin de Grandhomme (AR),Suryakumar Yadav (BT),Piyush Chawla (AR),Nathan Coulter-Nile (BL),Umesh Yadav (BL),Ankit Rajpoot (BL),Krunal Pandya,Rohit Sharma,Karn Sharma,Jasprit Bumrah,Suryakumar Yadav,Ishank Jaggi,Piyush Chawla,Nathan Coulter-Nile
MI,RPS,8,0,8,23,Rohit Sharma,Steven Smith,24,57,Lendl Simmons (BT),Parthiv Patel (WK),Ambati Rayudu (BT),Rohit Sharma (BT),Krunal Pandya (AR),Kieron Pollard (AR),Hardik Pandya (AR),Karn Sharma (BL),Mitchell Johnson (BL),Jasprit Bumrah (BL),Lasith Malinga (BL),Ajinkya Rahane (BT),Rahul Tripathi (BT),Steven Smith (BT),MS Dhoni (WK),Manoj Tiwary (BT),Daniel Christian (AR),Washington Sundar (AR),Lockie Ferguson (BL),Adam Zampa (BL),Shardul Thakur (BL),Jaydev Unadkat (BL),Krunal Pandya,Rohit Sharma,Mitchell Johnson,Jasprit Bumrah,Steven Smith,Ajinkya Rahane,Jaydev Unadkat,Adam Zampa
MI,RPS,8,0,12,34,Rohit Sharma,MS Dhoni,59,0,Lendl Simmons (BT),Rohit Sharma (BT),Hardik Pandya (AR),Jos Buttler (WK),Ambati Rayudu (BT),Kieron Pollard (AR),Shreyas Gopal (AR),Harbhajan Singh (BL),Vinay Kumar (BL),Mitchell McClenaghan (BL),Jasprit Bumrah (BL),Ajinkya Rahane (BT),Faf du Plessis (BT),Kevin Pietersen (BT),MS Dhoni (WK),Steven Smith (BT),Rajat Bhatia (AR),Mitchell Marsh (AR),Ravichandran Ashwin (AR),Ishant Sharma (BL),Murugan Ashwin (BL),RP Singh (BL),Harbhajan Singh,Ambati Rayudu,Harbhajan Singh,Shreyas Gopal,Ajinkya Rahane,Faf du Plessis,Mitchell Marsh,Ishant Sharma
KKR,DC,4,1,4,9,Gautam Gambhir,Zaheer Khan,0,18,Robin Uthappa (WK),Gautam Gambhir (BT),Manish Pandey (BT),Colin Munro (BT),Suryakumar Yadav (BT),Yusuf Pathan (AR),Andre Russell (AR),Piyush Chawla (AR),John Hastings (AR),Brad Hogg (AR),Umesh Yadav (BL),Mayank Agarwal (BT),Quinton de Kock (WK),Shreyas Iyer (BT),Karun Nair (BT),Sanju Samson (BT),Pawan Negi (BL),Carlos Brathwaite (AR),Chris Morris (AR),Nathan Coulter-Nile (BL),Amit Mishra (BL),Zaheer Khan (BL),Gautam Gambhir,Robin Uthappa,Brad Hogg,Andre Russell,Quinton de Kock,Sanju Samson,Amit Mishra,Carlos Brathwaite
KXIP,GL,2,1,2,22,David Miller,Suresh Raina,17,0,Murali Vijay (BT),Manan Vohra (BT),David Miller (BT),Glenn Maxwell (AR),Wriddhiman Saha (WK),Marcus Stoinis (BT),Axar Patel (AR),Mitchell Johnson (BL),Pardeep Sahu (AR),Mohit Sharma (BL),Sandeep Sharma (BL),Aaron Finch (BT),Brendon McCullum (BT),Suresh Raina (BT),Dinesh Karthik (WK),Ravindra Jadeja (AR),Ishan Kishan (BT),Dwayne Bravo (AR),James Faulkner (AR),Praveen Kumar (BL),Pradeep Sangwan (BL),Sarabjit Ladda (BL),Murali Vijay,Manan Vohra,Sandeep Sharma,Marcus Stoinis,Aaron Finch,Dinesh Karthik,Dwayne Bravo,Ravindra Jadeja
RCB,SRH,13,1,11,15,Virat Kohli,David Warner,61,21,Chris Gayle (AR),Virat Kohli (BT),AB de Villiers (BT),Shane Watson (AR),Sarfaraz Khan (BT),Kedar Jadhav (WK),Stuart Binny (AR),Parvez Rasool (AR),Harshal Patel (BL),Adam Milne (BL),Yuzvendra Chahal (BL),David Warner (BT),Shikhar Dhawan (BT),Moises Henriques (AR),Naman Ojha (WK),Deepak Hooda (AR),Eoin Morgan (BT),Ashish Reddy (AR),Karn Sharma (BL),Ashish Nehra (BL),Bhuvneshwar Kumar (BL),Mustafizur Rahman (BL),AB de Villiers,Virat Kohli,Shane Watson,Yuzvendra Chahal,David Warner,Ashish Reddy,Mustafizur Rahman,Bhuvneshwar Kumar
KKR,MI,8,1,8,9,Gautam Gambhir,Rohit Sharma,26,46,Robin Uthappa (WK),Gautam Gambhir (BT),Manish Pandey (BT),Andre Russell (AR),Yusuf Pathan (AR),Colin Munro (BT),Suryakumar Yadav (BT),Piyush Chawla (AR),John Hastings (AR),Kuldeep Yadav (BL),Brad Hogg (AR),Rohit Sharma (BT),Parthiv Patel (WK),Hardik Pandya (AR),Mitchell McClenaghan (BL),Jos Buttler (BT),Kieron Pollard (AR),Ambati Rayudu (BT),Harbhajan Singh (BL),Jagadeesha Suchith (BL),Tim Southee (BL),Jasprit Bumrah (BL),Gautam Gambhir,Manish Pandey,Piyush Chawla,Kuldeep Yadav,Rohit Sharma,Jos Buttler,Mitchell McClenaghan,Hardik Pandya
GL,RPS,11,0,2,25,Suresh Raina,MS Dhoni,17,0,Aaron Finch (BT),Brendon McCullum (BT),Suresh Raina (BT),Dwayne Bravo (AR),Ravindra Jadeja (AR),Dinesh Karthik (WK),Akshdeep Nath (BT),James Faulkner (AR),Praveen Kumar (BL),Shadab Jakati (BL),Pravin Tambe (BL),Ajinkya Rahane (BT),Faf du Plessis (BT),Kevin Pietersen (BT),Steven Smith (BT),MS Dhoni (WK),Mitchell Marsh (AR),Rajat Bhatia (AR),Ravichandran Ashwin (AR),Ishant Sharma (BL),RP Singh (BL),Murugan Ashwin (BL),Aaron Finch,Brendon McCullum,Ravindra Jadeja,Pravin Tambe,Faf du Plessis,Kevin Pietersen,Murugan Ashwin,Ishant Sharma
DC,KXIP,1,1,1,0,Zaheer Khan,David Miller,26,37,Quinton de Kock (WK),Shreyas Iyer (BT),Sanju Samson (BT),Pawan Negi (BL),Karun Nair (BT),Jean-Paul Duminy (AR),Carlos Brathwaite (AR),Jayant Yadav (BL),Chris Morris (AR),Zaheer Khan (BL),Amit Mishra (BL),Murali Vijay (BT),Manan Vohra (BT),Shaun Marsh (BT),David Miller (BT),Glenn Maxwell (AR),Axar Patel (AR),Wriddhiman Saha (WK),Mitchell Johnson (BL),Mohit Sharma (BL),Pardeep Sahu (AR),Sandeep Sharma (BL),Quinton de Kock,Sanju Samson,Amit Mishra,Zaheer Khan,Manan Vohra,Pardeep Sahu,Sandeep Sharma,Axar Patel
SRH,KKR,13,0,4,23,David Warner,Gautam Gambhir,0,37,David Warner (BT),Shikhar Dhawan (BT),Moises Henriques (AR),Eoin Morgan (BT),Deepak Hooda (AR),Naman Ojha (WK),Ashish Reddy (AR),Karn Sharma (BL),Bhuvneshwar Kumar (BL),Mustafizur Rahman (BL),Barinder Sran (BL),Robin Uthappa (WK),Gautam Gambhir (BT),Andre Russell (AR),Manish Pandey (BT),Shakib Al Hasan (AR),Yusuf Pathan (AR),Suryakumar Yadav (BT),Piyush Chawla (AR),Sunil Narine (AR),Morne Morkel (BL),Umesh Yadav (BL),Eoin Morgan,Naman Ojha,Ashish Reddy,Mustafizur Rahman,Gautam Gambhir,Robin Uthappa,Umesh Yadav,Morne Morkel
MI,GL,2,1,2,34,Rohit Sharma,Suresh Raina,61,0,Rohit Sharma (BT),Parthiv Patel (WK),Hardik Pandya (AR),Jos Buttler (BT),Kieron Pollard (AR),Ambati Rayudu (BT),Harbhajan Singh (BL),Krunal Pandya (AR),Tim Southee (BL),Mitchell McClenaghan (BL),Jasprit Bumrah (BL),Aaron Finch (BT),Brendon McCullum (BT),Suresh Raina (BT),Dinesh Karthik (WK),Dwayne Bravo (AR),Akshdeep Nath (BT),James Faulkner (AR),Praveen Kumar (BL),Dhawal Kulkarni (BL),Shadab Jakati (BL),Pravin Tambe (BL),Parthiv Patel,Tim Southee,Mitchell McClenaghan,Jasprit Bumrah,Aaron Finch,Suresh Raina,Dhawal Kulkarni,Pravin Tambe
KXIP,RPS,11,0,5,22,David Miller,MS Dhoni,26,0,Murali Vijay (BT),Manan Vohra (BT),Shaun Marsh (BT),David Miller (BT),Glenn Maxwell (AR),Wriddhiman Saha (WK),Axar Patel (AR),Mohit Sharma (BL),Kyle Abbott (BL),Pardeep Sahu (AR),Sandeep Sharma (BL),Ajinkya Rahane (BT),Faf du Plessis (BT),Kevin Pietersen (BT),Thisara Perera (AR),Steven Smith (BT),MS Dhoni (WK),Irfan Pathan (AR),Ravichandran Ashwin (AR),Ishant Sharma (BL),Ankit Sharma (BL),Murugan Ashwin (BL),Murali Vijay,Manan Vohra,Mohit Sharma,Sandeep Sharma,Faf du Plessis,Steven Smith,Murugan Ashwin,Ankit Sharma
RCB,DC,1,1,1,15,Virat Kohli,Zaheer Khan,38,21,Chris Gayle (AR),Virat Kohli (BT),AB de Villiers (BT),Shane Watson (AR),Sarfaraz Khan (BT),Kedar Jadhav (WK),David Wiese (AR),Parvez Rasool (AR),Harshal Patel (BL),Yuzvendra Chahal (BL),Sreenath Aravind (BL),Quinton de Kock (WK),Shreyas Iyer (BT),Sanju Samson (BT),Karun Nair (BT),Jean-Paul Duminy (AR),Carlos Brathwaite (AR),Chris Morris (AR),Pawan Negi (BL),Zaheer Khan (BL),Amit Mishra (BL),Mohammed Shami (BL),Virat Kohli,AB de Villiers,Shane Watson,Sreenath Aravind,Quinton de Kock,Karun Nair,Mohammed Shami,Carlos Brathwaite
SRH,MI,13,1,14,23,David Warner,Rohit Sharma,0,46,David Warner (BT),Shikhar Dhawan (BT),Moises Henriques (AR),Eoin Morgan (BT),Deepak Hooda (AR),Naman Ojha (WK),Bipul Sharma (AR),Ashish Reddy (AR),Bhuvneshwar Kumar (BL),Mustafizur Rahman (BL),Barinder Sran (BL),Martin Guptill (BT),Parthiv Patel (WK),Ambati Rayudu (BT),Rohit Sharma (BT),Jos Buttler (BT),Krunal Pandya (AR),Hardik Pandya (AR),Harbhajan Singh (BL),Tim Southee (BL),Mitchell McClenaghan (BL),Jasprit Bumrah (BL),David Warner,Moises Henriques,Barinder Sran,Bhuvneshwar Kumar,Ambati Rayudu,Krunal Pandya,Tim Southee,Jasprit Bumrah
KXIP,KKR,4,1,4,22,David Miller,Gautam Gambhir,61,46,Murali Vijay (BT),Manan Vohra (BT),Shaun Marsh (BT),Wriddhiman Saha (WK),David Miller (BT),Glenn Maxwell (AR),Axar Patel (AR),Mohit Sharma (BL),Pardeep Sahu (AR),Kyle Abbott (BL),Sandeep Sharma (BL),Robin Uthappa (WK),Gautam Gambhir (BT),Manish Pandey (BT),Shakib Al Hasan (AR),Suryakumar Yadav (BT),Yusuf Pathan (AR),Andre Russell (AR),Piyush Chawla (AR),Sunil Narine (AR),Morne Morkel (BL),Umesh Yadav (BL),Shaun Marsh,Murali Vijay,Pardeep Sahu,Axar Patel,Robin Uthappa,Gautam Gambhir,Sunil Narine,Morne Morkel
MI,RCB,8,1,8,34,Rohit Sharma,Virat Kohli,38,44,Rohit Sharma (BT),Parthiv Patel (WK),Ambati Rayudu (BT),Jos Buttler (BT),Kieron Pollard (AR),Hardik Pandya (AR),Krunal Pandya (AR),Harbhajan Singh (BL),Jasprit Bumrah (BL),Mitchell McClenaghan (BL),Tim Southee (BL),Virat Kohli (BT),KL Rahul (WK),AB de Villiers (BT),Shane Watson (AR),Travis Head (BT),Sarfaraz Khan (BT),Stuart Binny (AR),Harshal Patel (BL),Kane Richardson (BL),Iqbal Abdulla (AR),Varun Aaron (BL),Rohit Sharma,Kieron Pollard,Jasprit Bumrah,Krunal Pandya,Travis Head,Virat Kohli,Iqbal Abdulla,Kane Richardson
GL,SRH,13,1,14,25,Suresh Raina,David Warner,0,0,Aaron Finch (BT),Brendon McCullum (BT),Suresh Raina (BT),Dinesh Karthik (WK),Dwayne Bravo (AR),Ravindra Jadeja (AR),Akshdeep Nath (BT),Dale Steyn (BL),Praveen Kumar (BL),Dhawal Kulkarni (BL),Pravin Tambe (BL),David Warner (BT),Shikhar Dhawan (BT),Moises Henriques (AR),Eoin Morgan (BT),Deepak Hooda (AR),Aditya Tare (UKN),Naman Ojha (WK),Bhuvneshwar Kumar (BL),Mustafizur Rahman (BL),Bipul Sharma (AR),Barinder Sran (BL),Suresh Raina,Brendon McCullum,Ravindra Jadeja,Suresh Raina,David Warner,Shikhar Dhawan,Bhuvneshwar Kumar,Bipul Sharma
RPS,RCB,11,1,11,17,MS Dhoni,Virat Kohli,61,0,Ajinkya Rahane (BT),Faf du Plessis (BT),Kevin Pietersen (BT),Steven Smith (BT),MS Dhoni (WK),Thisara Perera (AR),Rajat Bhatia (AR),Ravichandran Ashwin (AR),Ankit Sharma (BL),Murugan Ashwin (BL),Ishant Sharma (BL),Virat Kohli (BT),KL Rahul (WK),AB de Villiers (BT),Shane Watson (AR),Sarfaraz Khan (BT),Mandeep Singh (AR),Stuart Binny (AR),Harshal Patel (BL),Kane Richardson (BL),Tabraiz Shamsi (BL),Iqbal Abdulla (AR),Ajinkya Rahane,MS Dhoni,Thisara Perera,Rajat Bhatia,AB de Villiers,Virat Kohli,Kane Richardson,Shane Watson
DC,MI,8,1,1,0,Zaheer Khan,Rohit Sharma,26,10,Quinton de Kock (WK),Shreyas Iyer (BT),Sanju Samson (BT),Karun Nair (BT),Jean-Paul Duminy (AR),Pawan Negi (BL),Chris Morris (AR),Zaheer Khan (BL),Amit Mishra (BL),Mohammed Shami (BL),Imran Tahir (BL),Rohit Sharma (BT),Parthiv Patel (WK),Ambati Rayudu (BT),Krunal Pandya (AR),Jos Buttler (BT),Kieron Pollard (AR),Hardik Pandya (AR),Harbhajan Singh (BL),Tim Southee (BL),Mitchell McClenaghan (BL),Jasprit Bumrah (BL),Sanju Samson,Jean-Paul Duminy,Amit Mishra,Chris Morris,Rohit Sharma,Krunal Pandya,Mitchell McClenaghan,Hardik Pandya
SRH,KXIP,13,1,14,23,David Warner,David Miller,38,46,David Warner (BT),Shikhar Dhawan (BT),Aditya Tare (UKN),Eoin Morgan (BT),Deepak Hooda (AR),Moises Henriques (AR),Naman Ojha (WK),Bipul Sharma (AR),Bhuvneshwar Kumar (BL),Barinder Sran (BL),Mustafizur Rahman (BL),Murali Vijay (BT),Manan Vohra (BT),Shaun Marsh (BT),David Miller (BT),Glenn Maxwell (AR),Nikhil Naik (WK),Axar Patel (AR),Rishi Dhawan (AR),Mohit Sharma (BL),Kyle Abbott (BL),Sandeep Sharma (BL),David Warner,Shikhar Dhawan,Mustafizur Rahman,Moises Henriques,Shaun Marsh,Axar Patel,Mohit Sharma,Sandeep Sharma
GL,RCB,10,0,2,25,Suresh Raina,Virat Kohli,0,0,Dwayne Smith (AR),Brendon McCullum (BT),Suresh Raina (BT),Dinesh Karthik (WK),Ravindra Jadeja (AR),Dwayne Bravo (AR),Aaron Finch (BT),Praveen Kumar (BL),Dhawal Kulkarni (BL),Shadab Jakati (BL),Pravin Tambe (BL),Virat Kohli (BT),Shane Watson (AR),AB de Villiers (BT),KL Rahul (WK),Sarfaraz Khan (BT),Kedar Jadhav (AR),Stuart Binny (AR),Iqbal Abdulla (AR),Yuzvendra Chahal (BL),Kane Richardson (BL),Tabraiz Shamsi (BL),Dinesh Karthik,Brendon McCullum,Pravin Tambe,Dhawal Kulkarni,Virat Kohli,KL Rahul,Tabraiz Shamsi,Shane Watson
RPS,KKR,4,1,4,17,MS Dhoni,Gautam Gambhir,61,0,Ajinkya Rahane (BT),Faf du Plessis (BT),Steven Smith (BT),Thisara Perera (AR),Albie Morkel (AR),MS Dhoni (WK),Rajat Bhatia (AR),Saurabh Tiwary (BT),Ravichandran Ashwin (AR),Ankit Sharma (BL),Murugan Ashwin (BL),Robin Uthappa (WK),Gautam Gambhir (BT),Suryakumar Yadav (BT),Shakib Al Hasan (AR),Yusuf Pathan (AR),Andre Russell (AR),Rajagopal Sathish (AR),Piyush Chawla (AR),Umesh Yadav (BL),Sunil Narine (AR),Morne Morkel (BL),Ajinkya Rahane,Steven Smith,Rajat Bhatia,Thisara Perera,Suryakumar Yadav,Yusuf Pathan,Shakib Al Hasan,Umesh Yadav
KXIP,MI,5,1,8,22,David Miller,Rohit Sharma,26,28,Murali Vijay (BT),Manan Vohra (BT),Shaun Marsh (BT),Glenn Maxwell (AR),David Miller (BT),Nikhil Naik (WK),Axar Patel (AR),Mitchell Johnson (BL),Mohit Sharma (BL),Pardeep Sahu (AR),Sandeep Sharma (BL),Rohit Sharma (BT),Parthiv Patel (WK),Ambati Rayudu (BT),Jos Buttler (BT),Kieron Pollard (AR),Hardik Pandya (AR),Krunal Pandya (AR),Harbhajan Singh (BL),Tim Southee (BL),Mitchell McClenaghan (BL),Jasprit Bumrah (BL),Glenn Maxwell,Shaun Marsh,Mohit Sharma,Sandeep Sharma,Parthiv Patel,Ambati Rayudu,Jasprit Bumrah,Tim Southee
SRH,RPS,11,1,12,23,David Warner,MS Dhoni,61,0,David Warner (BT),Shikhar Dhawan (BT),Aditya Tare (UKN),Eoin Morgan (BT),Deepak Hooda (AR),Moises Henriques (AR),Naman Ojha (WK),Bipul Sharma (AR),Bhuvneshwar Kumar (BL),Ashish Nehra (BL),Mustafizur Rahman (BL),Ajinkya Rahane (BT),Faf du Plessis (BT),Steven Smith (BT),MS Dhoni (WK),Saurabh Tiwary (BT),Thisara Perera (AR),Mitchell Marsh (AR),Rajat Bhatia (AR),Ravichandran Ashwin (AR),Murugan Ashwin (BL),Ashok Dinda (BL),Shikhar Dhawan,Bhuvneshwar Kumar,Bhuvneshwar Kumar,Moises Henriques,Steven Smith,Faf du Plessis,Ashok Dinda,Mitchell Marsh
DC,GL,1,1,2,0,Zaheer Khan,Suresh Raina,0,0,Quinton de Kock (WK),Sanju Samson (BT),Karun Nair (BT),Jean-Paul Duminy (AR),Rishabh Pant (BT),Chris Morris (AR),Pawan Negi (BL),Amit Mishra (BL),Zaheer Khan (BL),Shahbaz Nadeem (BL),Imran Tahir (BL),Dwayne Smith (AR),Brendon McCullum (BT),Suresh Raina (BT),Dinesh Karthik (WK),Ravindra Jadeja (AR),Ishan Kishan (BT),Dwayne Bravo (AR),James Faulkner (AR),Praveen Kumar (BL),Dhawal Kulkarni (BL),Pravin Tambe (BL),Chris Morris,Jean-Paul Duminy,Imran Tahir,Chris Morris,Brendon McCullum,Dwayne Smith,Dhawal Kulkarni,James Faulkner
MI,KKR,8,1,8,34,Rohit Sharma,Gautam Gambhir,26,15,Rohit Sharma (BT),Parthiv Patel (WK),Ambati Rayudu (BT),Krunal Pandya (AR),Jos Buttler (BT),Kieron Pollard (AR),Hardik Pandya (AR),Harbhajan Singh (BL),Jasprit Bumrah (BL),Tim Southee (BL),Mitchell McClenaghan (BL),Robin Uthappa (WK),Gautam Gambhir (BT),Shakib Al Hasan (AR),Suryakumar Yadav (BT),Andre Russell (AR),Chris Lynn (BT),Yusuf Pathan (AR),Rajagopal Sathish (AR),Umesh Yadav (BL),Sunil Narine (AR),Jaydev Unadkat (BL),Rohit Sharma,Kieron Pollard,Tim Southee,Hardik Pandya,Gautam Gambhir,Robin Uthappa,Sunil Narine,Umesh Yadav
RPS,GL,2,1,2,17,MS Dhoni,Suresh Raina,59,0,Ajinkya Rahane (BT),Saurabh Tiwary (BT),Steven Smith (BT),MS Dhoni (WK),Thisara Perera (AR),Albie Morkel (AR),Rajat Bhatia (AR),Peter Handscomb (BT),Ravichandran Ashwin (AR),Murugan Ashwin (BL),Ashok Dinda (BL),Dwayne Smith (AR),Brendon McCullum (BT),Suresh Raina (BT),Dinesh Karthik (WK),Dwayne Bravo (AR),Ravindra Jadeja (AR),James Faulkner (AR),Ishan Kishan (BT),Praveen Kumar (BL),Dhawal Kulkarni (BL),Shivil Kaushik (BL),Steven Smith,Ajinkya Rahane,Ashok Dinda,Thisara Perera,Dwayne Smith,Brendon McCullum,Dwayne Bravo,Dhawal Kulkarni
DC,KKR,4,1,1,0,Zaheer Khan,Gautam Gambhir,0,42,Quinton de Kock (WK),Shreyas Iyer (BT),Sanju Samson (BT),Karun Nair (BT),Sam Billings (BT),Chris Morris (AR),Carlos Brathwaite (AR),Rishabh Pant (BT),Mohammed Shami (BL),Amit Mishra (BL),Zaheer Khan (BL),Robin Uthappa (WK),Gautam Gambhir (BT),Piyush Chawla (AR),Yusuf Pathan (AR),Suryakumar Yadav (BT),Rajagopal Sathish (AR),Andre Russell (AR),Jason Holder (AR),Umesh Yadav (BL),Sunil Narine (AR),Brad Hogg (AR),Karun Nair,Sam Billings,Zaheer Khan,Carlos Brathwaite,Robin Uthappa,Suryakumar Yadav,Andre Russell,Umesh Yadav
SRH,RCB,10,1,14,23,David Warner,Virat Kohli,38,18,David Warner (BT),Shikhar Dhawan (BT),Kane Williamson (BT),Moises Henriques (AR),Naman Ojha (WK),Deepak Hooda (AR),Ashish Reddy (AR),Barinder Sran (BL),Bhuvneshwar Kumar (BL),Ashish Nehra (BL),Mustafizur Rahman (BL),Virat Kohli (BT),KL Rahul (WK),AB de Villiers (BT),Shane Watson (AR),Sachin Baby (BT),Kedar Jadhav (AR),Parvez Rasool (AR),Varun Aaron (BL),Harshal Patel (BL),Kane Richardson (BL),Tabraiz Shamsi (BL),David Warner,Kane Williamson,Ashish Nehra,Mustafizur Rahman,KL Rahul,AB de Villiers,Kane Richardson,Shane Watson
GL,KXIP,2,1,5,25,Suresh Raina,Murali Vijay,61,0,Dwayne Smith (AR),Brendon McCullum (BT),Suresh Raina (BT),Dinesh Karthik (WK),Ravindra Jadeja (AR),Dwayne Bravo (AR),Ishan Kishan (BT),James Faulkner (AR),Praveen Kumar (BL),Dhawal Kulkarni (BL),Shivil Kaushik (BL),Murali Vijay (BT),Marcus Stoinis (BT),Shaun Marsh (BT),Glenn Maxwell (AR),Gurkeerat Singh Mann (BT),David Miller (BT),Wriddhiman Saha (WK),Axar Patel (AR),Mohit Sharma (BL),KC Cariappa (BL),Sandeep Sharma (BL),James Faulkner,Ishan Kishan,Shivil Kaushik,Praveen Kumar,Murali Vijay,Wriddhiman Saha,Axar Patel,Mohit Sharma
RPS,MI,8,1,8,17,MS Dhoni,Rohit Sharma,26,0,Ajinkya Rahane (BT),Saurabh Tiwary (BT),Steven Smith (BT),Peter Handscomb (BT),MS Dhoni (WK),Thisara Perera (AR),Rajat Bhatia (AR),Scott Boland (BL),Ravichandran Ashwin (AR),Ashok Dinda (BL),Murugan Ashwin (BL),Rohit Sharma (BT),Parthiv Patel (WK),Ambati Rayudu (BT),Jos Buttler (BT),Krunal Pandya (AR),Kieron Pollard (AR),Hardik Pandya (AR),Harbhajan Singh (BL),Jasprit Bumrah (BL),Tim Southee (BL),Mitchell McClenaghan (BL),Saurabh Tiwary,Steven Smith,Ravichandran Ashwin,Ashok Dinda,Rohit Sharma,Jos Buttler,Jasprit Bumrah,Harbhajan Singh
RCB,KKR,4,1,4,15,Virat Kohli,Gautam Gambhir,0,18,KL Rahul (WK),Chris Gayle (AR),Virat Kohli (BT),AB de Villiers (BT),Shane Watson (AR),Sachin Baby (BT),Stuart Binny (AR),Varun Aaron (BL),Sreenath Aravind (BL),Yuzvendra Chahal (BL),Tabraiz Shamsi (BL),Robin Uthappa (WK),Gautam Gambhir (BT),Chris Lynn (BT),Manish Pandey (BT),Yusuf Pathan (AR),Andre Russell (AR),Suryakumar Yadav (BT),Piyush Chawla (AR),Umesh Yadav (BL),Sunil Narine (AR),Morne Morkel (BL),KL Rahul,Virat Kohli,Yuzvendra Chahal,Sreenath Aravind,Yusuf Pathan,Andre Russell,Morne Morkel,Piyush Chawla
GL,DC,1,1,1,25,Suresh Raina,Zaheer Khan,61,0,Dwayne Smith (AR),Brendon McCullum (BT),Aaron Finch (BT),Suresh Raina (BT),Dinesh Karthik (WK),Ravindra Jadeja (AR),James Faulkner (AR),Ishan Kishan (BT),Praveen Kumar (BL),Dhawal Kulkarni (BL),Shivil Kaushik (BL),Quinton de Kock (WK),Rishabh Pant (BT),Sanju Samson (BT),Jean-Paul Duminy (AR),Karun Nair (BT),Sam Billings (BT),Chris Morris (AR),Amit Mishra (BL),Mohammed Shami (BL),Zaheer Khan (BL),Shahbaz Nadeem (BL),Dinesh Karthik,Ravindra Jadeja,Shivil Kaushik,Ravindra Jadeja,Rishabh Pant,Quinton de Kock,Shahbaz Nadeem,Amit Mishra
KKR,KXIP,5,1,4,9,Gautam Gambhir,Murali Vijay,38,21,Robin Uthappa (WK),Gautam Gambhir (BT),Yusuf Pathan (AR),Andre Russell (AR),Manish Pandey (BT),Suryakumar Yadav (BT),Shakib Al Hasan (AR),Brad Hogg (AR),Piyush Chawla (AR),Morne Morkel (BL),Umesh Yadav (BL),Murali Vijay (BT),Marcus Stoinis (BT),Manan Vohra (BT),Wriddhiman Saha (WK),Glenn Maxwell (AR),David Miller (BT),Gurkeerat Singh Mann (BT),Axar Patel (AR),Swapnil Singh (BL),Mohit Sharma (BL),Sandeep Sharma (BL),Robin Uthappa,Gautam Gambhir,Andre Russell,Piyush Chawla,Glenn Maxwell,Wriddhiman Saha,Axar Patel,Sandeep Sharma
DC,RPS,11,1,12,0,Jean-Paul Duminy,MS Dhoni,26,0,Rishabh Pant (BT),Sanju Samson (WK),Karun Nair (BT),Jean-Paul Duminy (AR),Sam Billings (BT),Carlos Brathwaite (AR),Pawan Negi (BL),Jayant Yadav (BL),Mohammed Shami (BL),Amit Mishra (BL),Imran Tahir (BL),Ajinkya Rahane (BT),Usman Khawaja (BT),Saurabh Tiwary (BT),MS Dhoni (WK),Thisara Perera (AR),George Bailey (BT),Rajat Bhatia (AR),Scott Boland (BL),Ravichandran Ashwin (AR),Ashok Dinda (BL),Murugan Ashwin (BL),Jean-Paul Duminy,Karun Nair,Imran Tahir,Amit Mishra,Ajinkya Rahane,Usman Khawaja,Rajat Bhatia,Scott Boland
SRH,GL,13,1,14,23,David Warner,Suresh Raina,0,0,David Warner (BT),Shikhar Dhawan (BT),Kane Williamson (BT),Moises Henriques (AR),Yuvraj Singh (BT),Deepak Hooda (AR),Naman Ojha (WK),Bhuvneshwar Kumar (BL),Barinder Sran (BL),Ashish Nehra (BL),Mustafizur Rahman (BL),Dwayne Smith (AR),Brendon McCullum (BT),Suresh Raina (BT),Dinesh Karthik (WK),Aaron Finch (BT),Dwayne Bravo (AR),Ravindra Jadeja (AR),Praveen Kumar (BL),Pradeep Sangwan (BL),Dhawal Kulkarni (BL),Shivil Kaushik (BL),Shikhar Dhawan,David Warner,Mustafizur Rahman,Bhuvneshwar Kumar,Aaron Finch,Suresh Raina,Dhawal Kulkarni,Dwayne Bravo
